id,skill_name,icon_name,created_at
002b1c93-082f-46f4-ad1f-8f8d003e9b3d,Decorators,SiTypescript,2025-09-06 07:32:03.554936+00
00be4d47-0d9b-4f9a-bfa0-688f0ffccc1a,Drizzle ORM,SiDrizzle,2025-09-06 07:32:03.554936+00
0132ccec-6869-495d-8737-4493de3e2aed,Adobe XD,SiAdobexd,2025-09-06 07:32:03.554936+00
0178039b-c55e-4f83-a78f-350a741a7d3b,Prisma,SiPrisma,2025-09-06 07:32:03.554936+00
01a40269-a16d-486b-a9b5-1a05b0797347,Sequelize,SiSequelize,2025-09-06 07:32:03.554936+00
0893a7b1-4bad-4b6d-ad25-2c01285bb61d,REST API,SiPostman,2025-09-06 07:32:03.554936+00
09df1ac1-aa1a-435f-8605-36c1867ea6a6,Metabase,SiMetabase,2025-09-06 07:32:03.554936+00
0b59859e-374c-4c72-9e48-820e5f8a0895,JQuery,SiJquery,2025-09-06 07:32:03.554936+00
1024901e-a58f-4055-9d0e-ac5852520026,React Query,"SiReactquery
",2025-09-06 07:32:03.554936+00
107d7ed3-1fa5-4b37-a2b9-c14c4a5dfd2a,JWT,SiJsonwebtokens,2025-09-06 07:32:03.554936+00
13738d41-6ce0-4858-87c5-7cc64726b30f,Less,SiLess,2025-09-06 07:32:03.554936+00
1606776c-dce2-42f5-9be5-1782356baadb,Python,SiPython,2025-09-06 07:32:03.554936+00
169c0bac-5663-411b-a6fc-8e5664f577c5,Xamarin,SiXamarin,2025-09-06 07:32:03.554936+00
18a230de-4ade-4d67-8cd5-97d554730311,Async/Await,SiJavascript,2025-09-06 07:32:03.554936+00
1ba76230-ad12-4f7c-9940-e9c31c78e837,Recoil,SiRecoil,2025-09-06 07:32:03.554936+00
1d8550f2-dbd4-4935-9f5e-9cb99847f10d,GraphQL,SiGraphql,2025-09-06 07:32:03.554936+00
1e192d9f-2e49-46d6-9bd2-8ff564e4b925,Contentful,SiContentful,2025-09-06 07:32:03.554936+00
1ee44af6-4c23-445b-ac82-c86c1b644314,Web Workers,SiWebcomponents,2025-09-06 07:32:03.554936+00
21b04782-6e1b-499e-a97d-f0826f7e1eb7,Tableau,SiTableau,2025-09-06 07:32:03.554936+00
23036796-b0c4-4642-bba0-836fb040a076,Jira,SiJira,2025-09-06 07:32:03.554936+00
24809254-f478-4f9d-9dda-385d114b74b8,Slack,SiSlack,2025-09-06 07:32:03.554936+00
250cbca0-4fd7-4588-944a-4c67f4fcf613,ELK Stack,SiElasticsearch,2025-09-06 07:32:03.554936+00
2bfafb9b-c079-49a4-aa7e-693779de4ed6,AMP,SiAmp,2025-09-06 07:32:03.554936+00
2c6ab2c7-27b8-4084-8487-9e429b285a5f,Supabase,SiSupabase,2025-09-06 07:32:03.554936+00
2d533ea9-f7a6-40d9-a372-75cb20d1d565,Go,SiGo,2025-09-06 07:32:03.554936+00
2d7915b1-e6e3-431c-bd7d-341645dc2afa,Git,SiGit,2025-09-06 07:32:03.554936+00
2ed5a01a-ec06-4a23-b0bd-9191fd6cdc63,Flask,SiFlask,2025-09-06 07:32:03.554936+00
2eec030c-63df-44e7-8bfd-0a751ff9f4b5,Postman,SiPostman,2025-09-06 07:32:03.554936+00
2f82925d-b47c-42a7-a8bf-ac20743427f5,Node.js,SiNodedotjs,2025-09-06 07:32:03.554936+00
30434752-3b13-4e59-b114-800a1720a264,Tailwind CSS,SiTailwindcss,2025-09-06 07:32:03.554936+00
344e3565-deb9-4d3b-a5d7-fbc72d3ced9e,Zeplin,SiZeplin,2025-09-06 07:32:03.554936+00
345bef5f-dd75-4de4-8cda-87e1e874bb80,Spring,SiSpring,2025-09-06 07:32:03.554936+00
